                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     72,               0.051003,               0.041252,               0.024101,                      0,                0.31977,                0.43636,                0.20633,               0.066069,                0.32053,                0.40315,                0.24631,               0.079218,               0.074991,               0.081511,               0.017624,                      0,               0.030068,              0.0020678,              0.0020678
                     73,               0.056272,               0.044303,               0.022043,                      0,                0.35392,                0.45455,                0.24967,                0.11245,                0.38804,                0.47273,                0.30937,                0.10286,               0.069783,               0.079108,               0.017357,                      0,               0.029024,              0.0020243,              0.0020243
                     74,               0.052245,                 0.0435,                0.02428,                      0,                 0.2984,                    0.4,                0.21714,               0.077811,                0.31172,                    0.4,                0.24242,               0.085765,               0.074614,               0.077563,               0.016712,                      0,               0.027979,              0.0019788,              0.0019788
                     75,               0.054359,               0.041268,               0.021075,                      0,                0.39539,                0.43636,                0.28603,                0.11836,                0.48665,                0.43636,                0.30168,                0.11258,               0.070131,               0.076896,               0.016804,                      0,               0.026931,              0.0019313,              0.0019313
                     76,               0.052717,               0.042393,               0.024778,                      0,                0.35459,                0.43636,                0.26153,               0.098281,                0.38336,                    0.4,                0.27558,                0.10066,               0.071671,                0.07574,               0.016582,                      0,               0.025882,              0.0018818,              0.0018818
                     77,               0.054715,               0.042341,               0.022315,                      0,                0.40723,                0.43636,                0.29744,                 0.1343,                0.49087,                0.40324,                0.29942,                0.10919,               0.069556,               0.076218,               0.016518,                      0,                0.02483,              0.0018303,              0.0018303
                     78,               0.050453,               0.041488,               0.025128,                      0,                0.40813,                0.38182,                0.28325,                0.12082,                0.40813,                0.38182,                0.27488,                 0.1019,               0.072195,               0.076554,               0.016434,                      0,               0.023777,              0.0017768,              0.0017768
                     79,               0.053467,               0.044025,               0.026317,                      0,                0.49519,                0.38182,                 0.3096,                0.12997,                0.48108,                0.38182,                0.30001,                0.11427,               0.067813,                0.07552,               0.016914,                      0,               0.022721,              0.0017214,              0.0017214
                     80,               0.047813,               0.038124,               0.022529,                      0,                0.35761,                    0.4,                0.28675,                0.11022,                0.35372,                0.38182,                0.26649,                0.10254,               0.070645,               0.075957,               0.016815,                      0,               0.021664,               0.001664,               0.001664
                     81,                0.05149,               0.042299,               0.023944,                      0,                0.41793,                0.35257,                0.29516,                0.12161,                0.43766,                0.36799,                0.30918,                0.12715,               0.067606,               0.074773,               0.016933,                      0,               0.020605,              0.0016046,              0.0016046
                     82,               0.051268,                0.04394,               0.025433,                      0,                0.30543,                0.47977,                0.32179,                0.11336,                0.36523,                0.36364,                0.28572,                0.11544,               0.069364,                0.07417,               0.016647,                      0,               0.019543,              0.0015432,              0.0015432
                     83,               0.049266,                 0.0409,               0.023233,                      0,                0.43024,                0.38182,                0.34326,                0.13377,                0.43564,                0.36364,                0.31289,                0.12977,               0.066813,               0.074824,               0.016727,                      0,                0.01848,              0.0014799,              0.0014799
                     84,               0.048998,               0.038549,               0.023218,                      0,                0.39077,                    0.4,                0.35403,                0.14093,                0.43054,                0.38182,                0.30262,                0.12162,               0.068817,               0.074915,               0.016453,                      0,               0.017415,              0.0014146,              0.0014146
                     85,               0.048846,               0.041379,               0.021524,                      0,                0.43418,                0.38182,                0.36983,                0.13984,                0.43585,                0.38182,                0.33793,                0.12034,               0.066554,               0.074754,               0.016602,                      0,               0.016347,              0.0013473,              0.0013473
                     86,               0.047399,               0.041315,               0.022433,                      0,                0.36364,                0.38182,                0.34212,                0.12708,                0.35046,                0.36364,                 0.2854,                0.11439,                0.06866,               0.074244,               0.016357,                      0,               0.015278,               0.001278,               0.001278
                     87,               0.049319,               0.039226,               0.022818,                      0,                0.47668,                    0.4,                0.37812,                0.13773,                0.39549,                0.43636,                0.32221,                0.12137,               0.066451,               0.073873,                0.01638,                      0,               0.014207,              0.0012067,              0.0012067
                     88,               0.048763,               0.045572,               0.023309,                      0,                0.43107,                0.45455,                 0.3671,                0.14328,                0.37682,                0.41818,                0.29857,                0.11846,                0.06789,               0.072861,               0.016136,                      0,               0.013133,              0.0011334,              0.0011334
                     89,               0.046241,               0.043341,               0.023582,                      0,                0.40883,                0.45455,                0.35167,                0.13745,                0.38256,                    0.4,                0.30301,                0.11735,               0.066707,               0.072537,               0.016209,                      0,               0.012058,              0.0010582,              0.0010582
                     90,               0.047023,               0.042003,               0.024866,                      0,                0.47331,                    0.4,                0.37518,                0.14706,                0.40601,                    0.4,                0.29928,                0.10947,               0.067867,               0.072641,               0.016113,                      0,               0.010981,               0.000981,               0.000981
                     91,               0.045995,               0.039791,               0.023479,                      0,                0.50056,                0.38182,                0.37109,                0.14337,                0.39709,                    0.4,                0.30435,                0.11314,               0.066689,               0.072973,               0.016239,                      0,              0.0099018,             0.00090181,             0.00090181
                     92,                 0.0458,               0.039476,               0.021356,                      0,                0.54956,                    0.4,                0.38839,                0.14342,                0.49089,                    0.4,                0.31485,                0.11618,               0.067017,               0.072796,               0.016129,                      0,              0.0088206,             0.00082064,             0.00082064
                     93,               0.045944,                0.03831,               0.022973,                      0,                0.45009,                0.38182,                0.35698,                0.14719,                0.45009,                0.38182,                0.31328,                0.10919,               0.066613,               0.072225,               0.016006,                      0,              0.0077375,             0.00073749,             0.00073749
                     94,                0.04595,               0.038412,               0.023235,                      0,                0.42835,                0.36792,                0.36435,                0.14817,                0.44713,                0.38182,                0.37161,                0.12752,               0.066938,               0.072357,               0.016071,                      0,              0.0066524,             0.00065236,             0.00065236
                     95,                  0.045,               0.041049,               0.021637,                      0,                0.56033,                    0.4,                0.37062,                0.15488,                0.45389,                0.36364,                0.30862,                0.11893,               0.066744,                0.07219,               0.015957,                      0,              0.0055653,             0.00056525,             0.00056525
                     96,               0.046314,               0.038884,               0.021132,                      0,                0.49229,                0.38182,                0.35959,                0.15083,                0.46782,                0.36364,                0.30177,                0.11137,               0.067233,               0.072042,               0.015762,                      0,              0.0044762,             0.00047616,             0.00047616
                     97,               0.043763,               0.041388,               0.021819,                      0,                0.50327,                0.38182,                0.35783,                 0.1549,                0.47842,                0.36364,                0.30594,                0.11576,               0.066625,               0.071732,               0.015675,                      0,              0.0033851,             0.00038509,             0.00038509
                     98,               0.042507,               0.039652,               0.021037,                      0,                0.57679,                0.39656,                0.36925,                0.15826,                0.53399,                0.38182,                0.32724,                0.12551,               0.066175,               0.071276,               0.015583,                      0,               0.002292,             0.00029204,             0.00029204
                     99,               0.043148,               0.040109,               0.023586,                      0,                0.57218,                0.38918,                0.37657,                0.16217,                0.53583,                    0.4,                0.33521,                0.12875,               0.065923,               0.071119,               0.015503,                      0,               0.001197,             0.00019701,             0.00019701
                    100,                0.56838,                0.38312,                0.38803,                 0.1639,                0.53001,                    0.4,                0.33552,                0.12908,               0.065934,                0.07112,               0.015507,                      0
