                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.3551,                 2.3923,                 1.0807,                 1.2334,                0.62347,                0.47273,                0.47392,                0.24324,                0.69192,                0.43636,                0.44848,                0.16323,                 1.9326,                 4.3515,                 1.6256,                 1.7433,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2183,                 2.2662,                0.98017,                 1.2107,                0.73725,                0.49091,                0.52779,                0.25064,                0.68264,                0.45455,                0.44659,                0.15408,                 1.9459,                 4.5213,                 1.7327,                  1.747,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1272,                 2.3086,                0.92804,                 1.1523,                0.71017,                0.49009,                0.48861,                0.24924,                0.63147,                0.43636,                0.40608,                0.15751,                 1.9053,                 4.1314,                 1.8116,                 1.6527,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2425,                 2.1636,                0.94745,                 1.2124,                0.59916,                0.46211,                0.43353,                0.20938,                0.56778,                0.43636,                0.36658,                0.13144,                 1.9753,                 4.0781,                 1.9247,                 1.6913,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.131,                 2.0724,                0.97122,                 1.1406,                0.57495,                0.50909,                0.42957,                0.19435,                0.55222,                0.49091,                0.41713,                0.12571,                 1.9073,                 4.1493,                  1.785,                 1.6959,               0.000911,               0.000911,               0.000911
                     58,                 1.2295,                 2.2956,                 1.0359,                  1.203,                0.52722,                0.42588,                0.38222,                0.21543,                0.58492,                0.43636,                0.38931,                0.13378,                 1.8554,                 3.9468,                 1.8259,                 1.6623,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1698,                 2.1934,                0.94325,                  1.241,                0.52124,                0.49091,                0.40527,                0.21367,                0.56307,                0.43636,                0.43779,                0.13831,                 1.8448,                 3.8985,                 1.9333,                 1.6608,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0932,                  2.283,                 1.0576,                 1.1912,                0.56761,                0.41818,                0.41622,                0.22618,                0.59368,                0.43636,                0.43993,                0.15346,                 1.8618,                 4.0234,                 1.9303,                  1.622,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1383,                 2.2696,                0.95631,                 1.1718,                0.65377,                0.41818,                0.42197,                0.23333,                0.71155,                0.45455,                 0.4544,                0.15028,                 1.8662,                 4.0689,                 1.8521,                 1.6563,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0998,                 2.1435,                0.88243,                 1.1793,                0.57356,                0.45455,                0.40813,                0.24048,                0.54943,                0.43636,                0.39867,                0.14823,                 1.9415,                 4.2248,                 1.7945,                  1.737,               0.000812,               0.000812,               0.000812
                     63,                 1.1426,                 2.0795,                0.94732,                 1.1826,                0.53702,                0.49091,                0.41279,                0.23786,                0.48616,                0.45455,                0.39026,                0.14614,                 1.8972,                 4.0677,                 1.8671,                 1.6812,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1595,                 2.1626,                0.90082,                 1.2285,                0.59527,                0.40115,                0.39453,                0.21814,                0.54544,                  0.371,                0.36966,                0.13593,                 1.8921,                 3.7042,                 1.8281,                 1.6969,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.206,                 1.9917,                0.91315,                 1.1385,                0.54921,                0.43636,                0.39784,                0.22426,                0.59846,                0.38182,                0.38697,                0.14606,                 1.8287,                 3.6531,                 1.7266,                 1.6586,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0717,                 1.9285,                0.85761,                 1.1255,                0.63869,                0.45004,                0.44669,                0.25064,                0.60849,                0.42398,                0.39926,                0.15769,                 1.9151,                 3.9117,                 1.5825,                 1.7194,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0349,                 2.0462,                0.88418,                 1.1086,                0.48412,                0.50909,                0.43565,                 0.2332,                0.45483,                0.47273,                0.38273,                0.14788,                 1.9737,                 4.0692,                 1.5353,                 1.7741,               0.000713,               0.000713,               0.000713
                     68,                 1.1295,                 2.2882,                0.98128,                 1.1329,                0.49035,                0.49091,                0.44022,                0.23911,                0.49035,                0.49091,                0.39139,                0.15351,                 1.9349,                 3.9443,                  1.564,                 1.7109,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0694,                 1.9741,                0.89821,                 1.0598,                0.48875,                0.52153,                0.39478,                0.23337,                0.50513,                0.53827,                0.41441,                0.16057,                 1.8259,                 3.7557,                 1.6227,                 1.6418,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1171,                 1.8724,                0.84389,                  1.153,                0.56397,                0.47038,                0.40109,                0.22555,                0.54217,                 0.4522,                0.36071,                 0.1581,                 1.8445,                 3.6398,                 1.6691,                 1.6614,              0.0006536,              0.0006536,              0.0006536
                     71,                0.98277,                  1.934,                0.83741,                 1.1213,                 0.5573,                0.47273,                 0.3843,                0.20735,                 0.5573,                0.47273,                0.38841,                0.13887,                 1.9359,                 3.6666,                 1.7114,                 1.7212,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0038,                 1.8135,                0.78253,                   1.09,                0.54975,                0.51063,                0.43529,                 0.1871,                 0.5106,                0.47426,                0.40777,                0.11987,                 2.0482,                 3.8767,                 1.6361,                 1.8224,               0.000614,               0.000614,               0.000614
                     73,                 1.1251,                 1.9105,                0.82763,                 1.1282,                0.55778,                0.49091,                0.43344,                0.19727,                0.47014,                0.41818,                0.32567,                0.12251,                 2.0189,                 3.9809,                 1.6344,                 1.7928,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0784,                 2.0032,                0.82258,                 1.1037,                0.64226,                0.41818,                0.41593,                0.21692,                0.59175,                 0.3954,                  0.375,                0.13075,                 1.8996,                 4.1004,                 1.6075,                 1.7137,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0393,                 1.8666,                0.80397,                 1.1203,                 0.5985,                0.47273,                0.44073,                0.22253,                0.55146,                0.43636,                0.40267,                0.14189,                 1.8236,                 4.1255,                 1.6424,                 1.6241,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0379,                 1.9857,                0.91853,                 1.1166,                0.61866,                0.47197,                0.43153,                0.20754,                0.64218,                0.48951,                0.44886,                0.15067,                 1.8892,                  4.129,                 1.6644,                 1.6544,              0.0005348,              0.0005348,              0.0005348
                     77,                0.97286,                 1.8585,                 0.8024,                 1.0679,                0.57306,                0.47273,                0.46715,                0.20938,                0.59539,                0.49091,                0.46679,                0.15561,                 1.8725,                 4.0884,                 1.6524,                 1.6324,               0.000515,               0.000515,               0.000515
                     78,                 1.0606,                 1.8778,                  0.851,                 1.1319,                0.46678,                0.45455,                0.47383,                0.21559,                 0.4759,                0.45455,                0.45288,                0.14971,                 1.8747,                  4.133,                 1.7042,                  1.596,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.9569,                  1.814,                0.78565,                 1.0732,                0.64582,                0.38182,                0.47294,                0.21913,                0.64582,                0.38182,                0.45109,                0.14423,                 1.8854,                 4.0562,                 1.7795,                 1.6035,              0.0004754,              0.0004754,              0.0004754
                     80,                0.99963,                 1.7305,                0.78867,                  1.072,                0.56442,                    0.4,                0.44942,                0.22466,                0.48536,                0.45455,                0.45205,                0.15731,                 1.8652,                 3.9262,                 1.8236,                 1.5661,              0.0004556,              0.0004556,              0.0004556
                     81,                0.97121,                 1.8009,                0.77397,                 1.0954,                0.47331,                0.47385,                0.44242,                0.22785,                0.47331,                0.47385,                0.43537,                  0.158,                   1.85,                  3.839,                 1.8256,                 1.5513,              0.0004358,              0.0004358,              0.0004358
                     82,                0.96275,                 1.8511,                0.76066,                 1.0975,                0.53742,                0.43636,                0.42266,                0.24305,                0.53742,                0.43636,                0.43733,                0.16558,                 1.7592,                 3.7683,                 1.7602,                 1.5085,               0.000416,               0.000416,               0.000416
                     83,                0.88583,                 1.7506,                0.69017,                 1.0107,                0.59711,                0.43636,                 0.4199,                0.24684,                0.62239,                0.45455,                0.44575,                0.15934,                 1.7661,                 3.8326,                 1.7611,                 1.5134,              0.0003962,              0.0003962,              0.0003962
                     84,                0.97987,                 1.8649,                0.81827,                 1.0687,                 0.5274,                0.45455,                0.38601,                0.23187,                0.65097,                0.40704,                0.42714,                0.15914,                 1.7149,                 4.0441,                 1.8058,                 1.4802,              0.0003764,              0.0003764,              0.0003764
                     85,                0.90554,                 1.6457,                 0.7179,                 1.0691,                0.54773,                0.44045,                0.38742,                0.22932,                0.65723,                    0.4,                0.40138,                0.14758,                 1.7505,                 4.1064,                 1.8333,                 1.5239,              0.0003566,              0.0003566,              0.0003566
                     86,                0.97616,                 1.8162,                0.75474,                  1.055,                0.52774,                0.47273,                 0.3873,                0.22391,                0.62573,                    0.4,                0.38117,                0.14028,                 1.7893,                 4.1081,                 1.8159,                 1.5796,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0834,                 2.0209,                0.87326,                 1.1747,                0.49598,                0.49091,                0.40216,                0.21731,                0.47711,                0.47273,                0.38959,                0.14015,                 1.8222,                 4.0659,                  1.824,                 1.5948,               0.000317,               0.000317,               0.000317
                     88,                 1.0512,                 1.6921,                0.78456,                 1.1317,                0.60244,                0.49091,                0.44152,                0.22355,                0.58013,                0.47273,                0.39655,                0.14679,                 1.8427,                 4.0417,                 1.8002,                  1.619,              0.0002972,              0.0002972,              0.0002972
